relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
7698,0.01894126841553367,-0.2818756103515625,0.503143310546875,10.291305541992188
7718,,-0.29144287109375,0.5282745361328125,10.308059692382813
7738,,-0.2878570556640625,0.506744384765625,10.326004028320313
7765,0.010148780367242873,-0.2938385009765625,0.503143310546875,10.300888061523438
7781,,-0.304595947265625,0.512725830078125,10.292510986328125
7798,,-0.3069915771484375,0.506744384765625,10.242263793945313
7818,,-0.3297271728515625,0.5175018310546875,10.2877197265625
7839,0.014592127553418377,-0.30340576171875,0.466064453125,10.272171020507813
7864,,-0.28546142578125,0.5438232421875,10.36309814453125
7881,,-0.1945343017578125,0.5462188720703125,10.255416870117188
7899,0.039397466462253145,-0.226837158203125,0.5414276123046875,10.269775390625
7918,,-0.296234130859375,0.5438232421875,10.324813842773438
7939,,-0.29144287109375,0.5402374267578125,10.348739624023438
7965,0.038737309912597245,-0.2591400146484375,0.5438232421875,10.322418212890625
7981,,-0.3117828369140625,0.5163116455078125,10.32720947265625
7999,,-0.3368988037109375,0.491180419921875,10.3116455078125
8020,,-0.25555419921875,0.4636688232421875,10.284133911132813
8040,0.025190344078493767,-0.298614501953125,0.509124755859375,10.324813842773438
8063,,-0.2782745361328125,0.4864044189453125,10.314041137695313
8081,,-0.29144287109375,0.494781494140625,10.290115356445313
8100,0.03729250232052826,,,
8101,,-0.2782745361328125,0.5079345703125,10.296096801757813
8121,,-0.2722930908203125,0.5342559814453125,10.288925170898438
8147,,-0.3309173583984375,0.524688720703125,10.354721069335938
8164,0.028877659420719733,-0.3189544677734375,0.506744384765625,10.304473876953125
8181,,-0.2699127197265625,0.5438232421875,10.340362548828125
8201,,-0.24957275390625,0.5390472412109375,10.2757568359375
8222,0.011273401802668028,,,10.249435424804688
8223,,-0.2722930908203125,0.524688720703125,
8247,,-0.29742431640625,0.537841796875,10.317626953125
8263,,-0.268707275390625,0.542633056640625,10.297286987304688
8281,,,,10.285324096679688
8282,,-0.2998199462890625,0.4828033447265625,
8302,0.030051042274039142,-0.314178466796875,0.5055389404296875,10.312850952148438
8323,,-0.29144287109375,0.506744384765625,10.28173828125
8347,,-0.2998199462890625,,10.306869506835938
8348,,,0.494781494140625,
8365,0.009840637685486157,-0.302215576171875,0.4935760498046875,10.267379760742188
8382,,-0.286651611328125,,10.320022583007813
8383,,,0.497161865234375,
8401,,-0.2938385009765625,0.5342559814453125,10.2877197265625
8423,0.02849835201718634,-0.2782745361328125,0.5342559814453125,10.302078247070313
8447,,-0.27349853515625,0.5474090576171875,10.264984130859375
8466,,-0.2639312744140625,0.521087646484375,10.298492431640625
8484,,-0.2711029052734375,0.5282745361328125,10.330795288085938
8503,0.010102595726797343,-0.286651611328125,0.5103302001953125,10.291305541992188
8523,,-0.30340576171875,0.513916015625,10.297286987304688
8546,,-0.2770843505859375,,10.2877197265625
8547,,,0.5103302001953125,
8563,,-0.3177642822265625,0.4887847900390625,10.285324096679688
8564,0.023473052041660298,,,
8583,,,,10.33319091796875
8584,,-0.292633056640625,0.503143310546875,
